央视, #genre#
NewTV怡伴健康,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV惊悚悬疑,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV明星大片,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV武搏世界,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV海外剧场,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV潮妈辣婆,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV炫舞未来,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV爱情喜剧,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV精品体育,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV精品大剧,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV精品纪录,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV金牌综艺,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
黑莓动画,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
黑莓电影,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
哒啵赛事,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
咪咕视频,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
咪咕视频,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
咪咕视频,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
咪咕视频,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
咪咕视频,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
咪咕视频,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&

地方, #genre#
直播南宁国际会展中心,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
直播桂林龙胜龙脊梯田,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
南宁新闻,http://hls.nntv.cn/nnlive/NNTV_NEWS_A.m3u8
南宁都市,http://hls.nntv.cn/nnlive/NNTV_METRO_A.m3u8
南宁影视娱乐,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
南宁公共,http://hls.nntv.cn/nnlive/NNTV_PUB_A.m3u8
柳州新闻综合,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
柳州科教,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
柳州公共,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
南宁公共,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
来宾综合,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
玉林公共,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
玉林新闻综合,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
百色公共,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
百色综合,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
贺州综合,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
北海新闻综合,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
北海经济科教,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
河池教育,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
罗城新闻综合,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&

外语, #genre#
CGTN,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CGTN俄语,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CGTN法语,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CGTN纪录,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CGTN西语,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CGTN阿语,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
北海新闻综合,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
北海经济科教,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
河池教育,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
罗城新闻综合,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CETV-1,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CETV-2,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CETV-4,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
